COD,"Bloque, ladrillo, piedra, madera pulida","Cana, esterilla, otros vegetales",Concreto vaciado,Guadua,"Madera burda, tabla, tablon","Madera burda, tabla, tablon, otro vegetal",Material prefabricado,No tiene paredes,Sin informacion,"Tapia pisada, bahareque, adobe"
15293,330,0,0,0,6,0,0,0,0,1853
15296,3059,0,0,0,0,0,0,0,0,15
15299,2983,0,1,0,11,0,3,0,0,176
15317,222,0,0,0,0,0,0,0,0,948
15322,1019,0,0,0,0,6,0,0,0,563
15325,107,0,0,0,0,0,0,0,0,1975
15332,83,16,0,0,25,0,0,0,0,1793
15362,484,0,0,0,0,0,0,0,0,301
15367,4618,0,0,0,0,0,0,0,0,0
15368,31,0,0,0,5,0,0,0,0,2355
15377,106,0,5,0,902,0,0,0,0,985
15380,1349,0,0,0,0,0,0,0,0,15
15401,430,0,0,5,149,0,9,0,0,34
15403,128,0,0,0,0,0,0,0,0,1361
15407,6304,0,0,0,0,0,0,0,0,7
15425,2135,0,0,0,9,0,0,0,0,275
15442,2241,0,0,0,1938,0,5,0,0,39
15455,2917,0,0,0,132,0,0,0,0,254
15464,1317,0,0,0,330,0,0,0,0,661
15466,1552,0,0,0,0,0,0,0,0,14
15469,9568,0,0,0,4,0,2,0,0,57
15476,4507,0,0,0,0,0,0,0,0,0
15480,700,0,3,0,1919,0,5,0,0,0
15491,2708,0,5,0,0,0,0,0,0,0
15494,4019,0,0,0,0,0,0,0,0,0
15500,2384,0,0,0,0,0,0,0,0,8
15507,136,0,0,4,3028,3,0,0,0,0
15511,1766,0,0,0,0,0,0,0,0,0
15514,1099,0,0,0,384,0,9,0,0,7
15516,10900,0,4,0,1,4,3,0,0,451
15518,528,0,0,0,117,0,0,0,0,0
15522,44,0,0,0,0,0,0,0,0,809
15531,1494,0,0,0,2821,0,0,0,0,11
15533,218,0,0,10,635,3,3,0,0,643
15537,600,0,0,0,0,0,0,0,0,788
15542,3711,0,0,0,130,0,0,0,0,518
15550,27,0,0,0,17,4,0,0,0,1003
15572,3596,3,17,5,1383,36,16,0,0,0
15580,231,2,2,4,2216,0,0,0,0,0
15599,4672,0,3,0,0,0,0,0,0,79
15600,4800,0,0,0,4,0,0,0,0,209
15621,1565,0,0,0,1,0,0,0,0,0
15632,9775,0,10,0,44,0,0,0,0,296
15638,2363,0,0,0,0,0,0,0,0,0
15646,10163,0,3,0,0,0,0,0,0,0
15660,519,0,0,0,360,0,0,0,0,0
15664,3704,0,0,5,3,0,0,0,0,0
15667,1213,0,71,0,643,0,0,0,0,9
15673,34,0,0,0,0,0,0,0,0,2109
15676,2002,0,0,0,0,0,0,0,0,487
15681,62,0,3,0,3574,0,9,0,0,0
15686,4148,0,0,5,0,0,0,0,0,0
15690,786,0,120,0,169,0,0,0,0,47
15693,3897,0,0,0,0,0,0,0,0,36
15696,1934,0,0,0,0,0,0,0,0,2
15720,232,0,0,0,7,0,0,0,0,1029
15723,2,0,4,0,0,0,0,0,0,746
15740,5521,0,0,0,0,0,0,0,0,10
15753,612,0,0,0,0,0,0,0,0,1693
15755,180,0,0,0,203,0,2,0,0,5338
15757,1814,0,0,0,0,0,0,0,0,1324
15759,11891,0,3,0,3,1,0,0,0,19
15761,731,0,1,0,0,0,0,0,0,1034
15762,1227,0,0,0,0,0,0,0,0,902
15763,6528,0,6,0,0,0,0,0,0,117
15764,4441,0,0,0,0,0,0,0,0,0
15774,338,0,1,0,0,0,0,0,0,1637
15776,3660,0,0,0,0,0,0,0,0,12
15778,69,0,0,0,0,0,0,0,0,2750
15790,1539,0,0,0,0,0,0,0,0,1944
15798,2375,0,0,0,2,0,0,0,0,3
15804,6285,0,0,0,0,0,0,0,0,6
15806,6011,0,0,0,0,0,0,0,0,0
15808,1738,0,0,0,0,0,19,0,0,383
15810,1605,0,0,0,0,0,0,0,0,601
