COD,"Bloque, ladrillo, piedra, madera pulida","Cana, esterilla, otros vegetales",Concreto vaciado,Guadua,"Madera burda, tabla, tablon","Madera burda, tabla, tablon, otro vegetal",Material prefabricado,No tiene paredes,Sin informacion,"Tapia pisada, bahareque, adobe"
68895,757,0,34,0,1,0,6,0,498,993
70001,46317,1033,3459,114,1604,188,162,0,5327,1770
70110,1467,6,259,259,21,2,2,0,198,130
70124,1519,4,5,2,76,10,2,0,124,508
70204,336,31,14,5,611,23,3,0,82,32
70215,12702,666,435,67,82,54,296,0,1217,303
70221,2244,35,100,8,131,18,22,0,364,51
70230,335,2,18,1,202,10,4,0,67,184
70233,1419,30,5,4,30,1,0,0,299,673
70235,2851,135,395,23,61,19,13,0,378,239
70265,1590,7,13,1,177,2,4,0,275,6
70400,972,4,124,3,9,4,3,0,68,304
70418,3815,109,23,6,56,19,3,0,355,143
