COD,"Bloque, ladrillo, piedra, madera pulida","Cana, esterilla, otros vegetales",Concreto vaciado,Guadua,"Madera burda, tabla, tablon","Madera burda, tabla, tablon, otro vegetal",Material prefabricado,No tiene paredes,Sin informacion,"Tapia pisada, bahareque, adobe"
18860,2327,3,34,1,236,0,24,0,0,0
19001,220009,1400,5890,433,13770,402,2649,0,0,1411
19022,864,1,21,0,9,0,46,0,0,1344
19050,5417,7,32,0,521,38,15,0,0,92
19075,5918,3,8,4,122,54,12,0,0,1448
19100,3135,8,31,9,35,1,26,0,0,4880
19110,5525,21,48,15,354,8,5,0,0,1690
19130,3072,18,20,0,106,0,71,0,0,278
19137,2393,11,17,9,6,0,12,0,0,550
19142,7182,261,100,315,55,41,53,0,0,985
19212,11296,256,95,114,46,48,188,0,0,1151
19256,4273,113,8,19,297,2,14,0,0,1029
19290,1209,0,7,0,0,5,0,0,0,390
19300,15901,29,25,20,2,10,11,0,0,406
19318,5233,10,515,1,8121,17,175,0,0,77
19355,1787,0,24,33,77,1,3,0,0,2818
19364,801,0,9,0,12,2,1,0,0,244
19392,1353,76,11,45,24,5,20,0,0,489
19397,1909,15,11,0,34,2,18,0,0,2693
19418,1410,10,52,0,1549,7,18,0,0,6
19450,5505,8,18,19,22,22,9,0,0,3836
19455,20282,69,1209,33,21,0,28,0,0,444
19473,2502,71,16,12,10,13,6,0,0,696
19513,5470,7,47,10,0,3,0,0,0,451
19517,4451,12,25,66,35,0,13,0,0,2702
19532,13621,180,159,38,132,105,43,0,0,3038
19533,1048,0,9,2,1873,0,0,0,0,0
19548,12029,279,57,22,176,18,180,0,0,537
19573,38036,17,1170,14,6,16,20,0,0,79
19585,1909,10,169,0,461,0,144,0,0,1053
19622,1770,0,30,6,31,8,14,0,0,62
19693,366,1,2,1,70,0,0,0,0,2073
19698,49839,1409,2348,222,352,50,219,0,0,2484
19701,280,3,169,2,423,9,7,0,0,468
19743,4288,0,12,12,9,0,7,0,0,761
19760,985,0,3,0,81,3,7,0,0,826
19780,6103,8,22,29,211,5,0,0,0,635
19785,284,6,2,8,14,0,9,0,0,1140
19807,12257,262,95,14,266,10,252,0,0,832
19809,2213,0,283,1,6233,15,37,0,0,31
19821,3438,52,45,15,51,3,21,0,0,293
19824,2210,0,8,2,71,0,6,0,0,230
19845,15144,21,68,11,9,5,11,0,0,47
20001,385778,233,20755,71,10231,6045,889,0,0,6484
20011,80774,64,1500,27,1114,3430,74,0,0,1462
20013,46380,243,1486,44,964,673,39,0,0,3761
20032,10704,40,70,164,744,257,1,0,0,2258
20045,13035,4,65,11,340,46,20,0,0,2725
20060,28507,155,860,17,2172,2510,548,0,0,332
20175,18908,113,107,202,833,154,149,4,0,3749
20178,19260,8,245,20,114,500,112,0,0,4785
20228,23151,59,2979,44,1401,764,123,0,0,2861
20238,21729,149,64,26,312,429,1780,0,0,868
20250,23268,8,1020,23,535,496,22,0,0,6270
20295,8922,9,51,35,893,387,4,0,0,1055
20310,1089,0,5,0,0,0,0,0,0,767
20383,9701,147,16,29,708,78,34,0,0,774
20400,29356,282,124,463,1062,1199,112,0,0,1293
20443,6807,0,11,0,225,61,4,0,0,963
20517,12855,2,26,59,766,167,10,0,0,817
20550,13513,159,204,405,186,62,39,0,0,1417
20570,7904,122,54,7,253,132,12,0,0,297
20614,7653,0,354,1,58,89,10,0,0,1268
20621,18533,17,1438,24,1615,312,23,0,0,842
20710,18187,0,1265,0,684,27,5,0,0,7
20750,14778,84,58,0,232,18,78,0,0,1017
20770,14567,174,53,4,2159,142,21,0,0,339
20787,8600,10,598,54,541,104,13,0,0,1559
23001,334734,634,23969,141,26411,1972,567,0,0,1332
23068,23382,112,1119,63,862,2014,289,0,0,66
23079,8661,198,911,14,1946,373,12,0,0,489
23090,2717,25,119,0,2865,34,142,0,0,5
23162,68819,1285,1863,173,3255,1680,80,0,0,1304
23168,7585,183,28,24,47,32,119,0,0,1053
23182,22985,1521,516,425,47,24,146,0,0,2173
23189,28301,1668,180,60,1491,177,36,0,0,1264
23300,9777,91,21,11,112,60,14,0,0,148
23350,10626,24,279,6,1408,133,5,0,0,9
23417,57573,2134,1075,218,4435,303,276,7,0,4642
23419,2982,30,23,5,3354,20,26,0,0,47
23464,9472,299,66,3,158,28,896,0,0,2425
23466,50763,209,3164,42,7511,425,222,0,0,297
23500,5361,365,270,109,2836,200,17,0,0,212
23555,40052,725,1794,255,2872,497,169,0,0,596
23570,10387,430,188,15,2390,191,83,0,0,785
23574,3046,95,451,18,2750,67,240,0,0,92
23580,13833,38,1132,2,4828,224,58,0,0,26
23586,8486,264,37,0,98,19,10,0,0,1170
23660,53202,1445,3148,1614,594,146,58,0,0,6860
23670,8147,2874,261,1371,27,6,9,0,0,1125
23672,17735,312,1253,56,1354,93,8,0,0,2802
23675,11669,810,230,53,879,90,55,0,0,847
23678,7902,97,97,139,332,68,12,0,0,814
23682,4984,19,10,0,2164,120,14,0,0,30
23686,17633,332,135,34,1051,262,24,0,0,421
23807,36244,113,790,118,11867,339,67,0,0,246
23815,6087,1348,306,53,14,4,26,0,0,412
23855,11502,27,1086,45,5035,57,34,0,0,11
25001,7200,9,51,0,14,37,162,0,0,809
25019,2164,0,37,3,24,12,123,0,0,235
25035,5940,10,156,11,17,46,27,0,0,29
25040,5125,12,40,3,17,4,82,0,0,464
25053,3850,1,16,9,8,14,32,0,0,133
25086,1024,8,16,0,0,3,25,0,0,132
25095,414,0,9,1,1,0,8,0,0,49
25099,7419,0,37,0,4,10,125,0,0,41
25120,865,3,130,0,32,0,0,0,0,76
25123,3481,0,14,7,34,11,85,0,0,24
25126,68260,0,1317,5,128,41,635,0,0,53
25148,3479,9,5,13,143,32,52,0,0,81
25151,6413,0,49,0,6,8,35,0,0,63
25154,1909,0,7,6,14,3,3,0,0,131
25168,745,0,7,2,0,1,1,0,0,87
25175,113354,8,465,32,437,29,3120,0,0,241
25178,2297,0,16,0,0,0,35,0,0,345
25181,3740,0,65,0,8,0,46,0,0,143
25183,9910,0,135,0,0,0,16,0,0,172
25200,11734,0,15,3,28,0,300,0,0,14
25214,19215,3,104,0,66,16,546,0,0,179
25224,926,0,4,0,0,0,7,0,0,191
25245,11471,0,152,0,36,4,69,0,0,28
25258,623,0,4,4,0,0,5,0,0,41
25260,19151,0,17,1,5,0,123,0,0,7
25269,120102,2,6029,15,378,58,1239,0,0,337
25279,4477,0,25,0,12,0,23,0,0,34
25281,1146,0,6,0,0,0,5,0,0,178
25286,86603,1,1267,5,91,19,831,0,0,46
25288,839,0,3,0,11,0,25,0,0,40
25290,114166,23,1543,6,197,105,206,0,0,62
25293,1294,0,19,0,1,3,93,0,0,249
25295,11683,0,57,10,13,0,150,0,0,49
25297,3025,0,17,1,14,1,25,0,0,73
25299,542,0,1,0,1,0,11,0,0,103
25307,86007,670,870,84,279,223,223,0,0,1100
25312,2486,7,4,1,2,2,330,0,0,14
25317,5336,0,6,2,9,0,274,0,0,294
25320,16393,59,140,9,82,31,90,0,0,172
25322,6375,0,17,0,36,0,57,0,0,108
25324,779,5,13,7,0,24,44,0,0,582
25326,2199,0,4,0,0,0,5,0,0,1
25328,961,0,1,0,14,4,40,0,0,23
25335,2687,0,88,0,5,0,86,0,0,0
25339,850,0,12,0,0,0,0,0,0,150
25368,625,0,1,5,0,2,115,0,0,40
25372,758,0,5,0,7,1,47,0,0,223
25377,15768,0,103,7,28,11,211,0,0,29
25386,17513,61,98,15,35,10,104,0,0,177
25394,3166,7,31,17,50,1,32,0,0,334
25398,694,6,4,10,5,0,25,0,0,143
25402,5709,0,28,17,26,24,50,0,0,5
25407,2536,0,0,0,10,0,88,0,0,148
25426,1391,0,2,0,0,0,30,0,0,118
25430,101478,5,1985,1,135,17,962,0,0,100
25436,710,0,8,0,3,0,0,0,0,83
25438,3973,2,27,0,41,5,6,0,0,57
25473,123688,0,3131,5,24,10,313,0,0,40
25483,1255,0,6,11,0,0,13,0,0,267
25486,8449,0,9,0,13,0,11,0,0,49
25488,3539,6,103,12,5,16,17,0,0,62
25489,808,5,6,19,0,0,23,0,0,117
25491,1524,0,5,12,0,10,150,0,0,179
25506,1207,0,27,0,20,0,36,0,0,32
25513,12155,0,62,23,134,12,90,0,0,132
25518,659,0,9,14,52,0,20,0,0,94
25524,855,0,39,5,5,5,32,0,0,101
25530,4834,0,85,0,193,28,7,0,0,13
25535,2768,0,33,0,45,9,25,0,0,29
25572,11396,11,116,1,450,9,46,0,0,11
25580,532,0,0,0,0,0,11,0,0,47
25592,1100,0,9,0,18,1,34,0,0,12
25594,2141,0,38,0,2,1,44,0,0,50
25596,1102,7,16,2,1,0,33,0,0,189
25599,3192,7,42,10,17,15,62,0,0,160
