COD,"Bloque, ladrillo, piedra, madera pulida","Cana, esterilla, otros vegetales",Concreto vaciado,Guadua,"Madera burda, tabla, tablon","Madera burda, tabla, tablon, otro vegetal",Material prefabricado,No tiene paredes,Sin informacion,"Tapia pisada, bahareque, adobe"
15897,22,0,1,0,9,0,0,0,5,6
17001,435,11,14,7,23,1,11,0,68,48
17013,56,0,0,0,1,0,1,0,8,14
17042,117,13,5,5,0,1,0,0,20,40
17050,5,0,0,0,0,0,0,0,2,24
17088,28,0,0,0,0,0,0,0,3,7
17174,45,2,1,0,0,0,0,0,5,8
17272,30,0,1,7,0,0,0,0,0,22
17380,165,4,4,0,129,5,1,0,88,2
17388,22,3,0,0,2,0,0,0,0,6
17433,28,1,0,0,11,1,0,0,2,0
17442,12,0,0,0,0,0,0,0,1,8
17444,24,0,0,0,0,1,0,0,1,0
17446,6,0,0,0,24,0,0,0,2,1
17486,105,9,4,0,5,0,3,0,69,14
17495,40,2,0,0,39,0,0,0,10,1
17513,44,0,1,0,2,0,0,0,3,14
17524,38,3,0,1,1,0,0,0,4,4
17541,32,0,1,0,49,0,0,0,18,0
17614,161,4,3,3,31,1,4,0,25,103
17616,37,2,0,0,0,0,1,0,0,13
17653,16,0,0,0,15,0,0,0,31,52
17662,119,1,0,0,32,1,0,0,14,2
17665,55,3,2,0,0,0,0,0,9,2
17777,81,0,0,1,1,0,0,0,9,12
17867,123,0,6,1,15,0,0,0,17,0
17873,151,4,24,0,22,0,3,0,46,35
17877,21,0,0,0,0,0,0,0,2,3
18001,724,2,26,5,778,18,8,0,440,27
18029,30,0,1,0,48,0,0,0,3,0
18094,38,4,2,1,93,8,0,0,0,2
18150,106,5,1,1,1883,50,6,5,310,7
18205,14,0,0,0,69,0,0,0,9,0
18247,48,0,2,1,222,1,0,0,23,2
18256,67,1,1,1,320,2,1,0,26,1
18410,98,4,2,1,610,22,48,0,76,7
18460,26,0,2,0,170,0,0,0,27,0
18479,30,0,0,1,28,1,0,0,4,0
18592,189,2,3,2,843,6,1,0,49,12
18610,66,1,0,3,291,4,0,0,145,1
18753,296,2,17,6,2550,34,35,8,132,24
18756,130,4,19,1,809,7,19,0,66,1
18785,32,0,3,2,325,0,1,0,66,0
18860,11,0,0,0,135,1,2,0,9,0
19001,820,25,13,16,229,8,29,0,308,165
19022,9,0,1,0,0,0,1,0,12,175
19050,167,1,2,0,112,1,5,0,10,41
19075,50,0,0,1,6,0,1,0,35,161
19100,53,1,1,1,5,1,4,0,7,310
19110,154,5,0,4,200,6,11,0,33,163
19130,203,3,0,5,24,3,5,0,42,195
19137,164,4,1,0,1,1,0,0,11,80
19142,187,15,5,13,19,13,5,0,55,135
19212,54,2,0,5,21,4,0,0,7,96
19256,229,7,2,7,539,2,1,0,163,162
19290,4,0,0,0,0,0,0,0,0,8
19300,90,2,0,1,0,1,0,0,20,7
19318,113,4,17,2,1690,9,3,0,115,4
19355,90,1,0,7,28,0,0,0,32,522
19364,87,1,1,2,0,0,1,0,3,27
19392,58,0,0,1,1,0,0,0,2,96
19397,47,0,2,1,1,0,1,0,24,144
19418,117,0,4,0,1573,9,7,0,266,6
19450,89,0,0,0,6,0,0,0,9,168
19455,154,0,10,2,7,0,0,0,3,15
19473,285,11,3,3,103,11,1,0,83,114
19513,40,0,1,1,0,0,0,0,0,1
19517,180,1,1,3,5,5,3,0,15,455
19532,161,15,5,0,21,11,0,0,19,302
19533,19,0,0,0,151,1,1,0,11,1
19548,179,1,0,4,4,0,5,0,29,17
19573,41,0,0,1,1,0,0,0,0,0
19585,96,0,14,0,152,0,1,0,22,43
19622,40,3,0,1,1,0,2,0,4,26
19693,11,0,0,1,3,0,0,0,12,129
19698,288,30,5,8,6,0,0,0,19,186
19701,95,3,32,1,498,6,1,0,201,93
19743,567,2,1,3,4,3,0,0,46,606
19760,78,1,0,1,35,0,1,0,7,94
19780,75,1,0,0,44,0,0,0,0,71
19785,9,0,0,0,1,1,0,0,0,69
