Municipio,Material Pared,Material Piso,Tipo Vivienda,No. edificaciones,TPER,THOG,Departamento,COD,No. total edificaciones
4,"Bloque, ladrillo, piedra, madera pulida","Cemento, gravilla",Apartamento,9,24,12,5,5004,305
4,"Bloque, ladrillo, piedra, madera pulida","Madera burda, tabla, tablon, otro vegetal",Casa,1,7,1,5,5004,305
4,"Bloque, ladrillo, piedra, madera pulida","Madera burda, tabla, tablon, otro vegetal",Apartamento,1,1,1,5,5004,305
4,"Bloque, ladrillo, piedra, madera pulida","Tierra, arena, barro",Casa,2,2,2,5,5004,305
4,Concreto vaciado,"Baldosa, vinilo, tableta, ladrillo, laminado",Casa,11,29,13,5,5004,305
4,Concreto vaciado,"Baldosa, vinilo, tableta, ladrillo, laminado",Apartamento,2,4,2,5,5004,305
4,Concreto vaciado,"Cemento, gravilla",Casa,15,66,21,5,5004,305
4,Concreto vaciado,"Cemento, gravilla",Apartamento,4,27,6,5,5004,305
4,Concreto vaciado,"Tierra, arena, barro",Casa,2,2,2,5,5004,305
4,Material prefabricado,"Marmol, parque, madera pulida y lacada",Casa,1,1,1,5,5004,305
4,Material prefabricado,"Baldosa, vinilo, tableta, ladrillo, laminado",Casa,1,3,1,5,5004,305
4,Material prefabricado,"Cemento, gravilla",Casa,4,4,4,5,5004,305
4,"Tapia pisada, bahareque, adobe","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,14,40,16,5,5004,305
4,"Tapia pisada, bahareque, adobe","Baldosa, vinilo, tableta, ladrillo, laminado",Apartamento,2,4,2,5,5004,305
4,"Tapia pisada, bahareque, adobe","Cemento, gravilla",Casa,3,11,4,5,5004,305
4,"Tapia pisada, bahareque, adobe","Madera burda, tabla, tablon, otro vegetal",Casa,5,18,8,5,5004,305
4,"Madera burda, tabla, tablon","Tierra, arena, barro",Apartamento,1,1,1,5,5004,305
21,Sin informacion,Sin informacion,Casa,85,0,0,5,5021,660
21,Sin informacion,Sin informacion,Apartamento,40,0,0,5,5021,660
21,"Bloque, ladrillo, piedra, madera pulida","Marmol, parque, madera pulida y lacada",Casa,10,10,10,5,5021,660
21,"Bloque, ladrillo, piedra, madera pulida","Marmol, parque, madera pulida y lacada",Apartamento,2,3,2,5,5021,660
21,"Bloque, ladrillo, piedra, madera pulida","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,121,387,155,5,5021,660
21,"Bloque, ladrillo, piedra, madera pulida","Baldosa, vinilo, tableta, ladrillo, laminado",Apartamento,167,1013,356,5,5021,660
21,"Bloque, ladrillo, piedra, madera pulida",Alfombra,Apartamento,1,2,1,5,5021,660
21,"Bloque, ladrillo, piedra, madera pulida","Cemento, gravilla",Casa,130,403,150,5,5021,660
21,"Bloque, ladrillo, piedra, madera pulida","Cemento, gravilla",Apartamento,66,296,108,5,5021,660
21,"Bloque, ladrillo, piedra, madera pulida","Madera burda, tabla, tablon, otro vegetal",Casa,2,3,2,5,5021,660
21,"Bloque, ladrillo, piedra, madera pulida","Tierra, arena, barro",Casa,1,1,1,5,5021,660
21,Concreto vaciado,"Marmol, parque, madera pulida y lacada",Casa,1,2,1,5,5021,660
21,Concreto vaciado,"Baldosa, vinilo, tableta, ladrillo, laminado",Casa,1,2,1,5,5021,660
21,Concreto vaciado,"Baldosa, vinilo, tableta, ladrillo, laminado",Apartamento,2,5,2,5,5021,660
21,Concreto vaciado,"Cemento, gravilla",Casa,1,1,1,5,5021,660
21,Concreto vaciado,"Cemento, gravilla",Apartamento,1,1,1,5,5021,660
21,"Tapia pisada, bahareque, adobe","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,5,15,5,5,5021,660
21,"Tapia pisada, bahareque, adobe","Baldosa, vinilo, tableta, ladrillo, laminado",Apartamento,2,6,2,5,5021,660
21,"Tapia pisada, bahareque, adobe","Cemento, gravilla",Casa,15,34,15,5,5021,660
21,"Tapia pisada, bahareque, adobe","Cemento, gravilla",Apartamento,4,11,5,5,5021,660
21,"Madera burda, tabla, tablon","Madera burda, tabla, tablon, otro vegetal",Apartamento,1,4,1,5,5021,660
21,"Madera burda, tabla, tablon","Tierra, arena, barro",Casa,2,2,2,5,5021,660
30,Sin informacion,Sin informacion,Casa,528,0,0,5,5030,5024
30,Sin informacion,Sin informacion,Apartamento,94,0,0,5,5030,5024
30,"Bloque, ladrillo, piedra, madera pulida","Marmol, parque, madera pulida y lacada",Casa,33,104,44,5,5030,5024
30,"Bloque, ladrillo, piedra, madera pulida","Marmol, parque, madera pulida y lacada",Apartamento,2,3,2,5,5030,5024
30,"Bloque, ladrillo, piedra, madera pulida","Baldosa, vinilo, tableta, ladrillo, laminado",Casa,951,4115,1350,5,5030,5024
30,"Bloque, ladrillo, piedra, madera pulida","Baldosa, vinilo, tableta, ladrillo, laminado",Apartamento,787,5660,1909,5,5030,5024
30,"Bloque, ladrillo, piedra, madera pulida",Alfombra,Casa,1,5,1,5,5030,5024
30,"Bloque, ladrillo, piedra, madera pulida","Cemento, gravilla",Casa,1074,4368,1363,5,5030,5024
30,"Bloque, ladrillo, piedra, madera pulida","Cemento, gravilla",Apartamento,251,1704,573,5,5030,5024
30,"Bloque, ladrillo, piedra, madera pulida","Madera burda, tabla, tablon, otro vegetal",Casa,9,39,11,5,5030,5024
30,"Bloque, ladrillo, piedra, madera pulida","Madera burda, tabla, tablon, otro vegetal",Apartamento,5,8,5,5,5030,5024
30,"Bloque, ladrillo, piedra, madera pulida","Tierra, arena, barro",Casa,11,34,12,5,5030,5024
30,"Bloque, ladrillo, piedra, madera pulida","Tierra, arena, barro",Apartamento,1,1,1,5,5030,5024
30,Concreto vaciado,"Marmol, parque, madera pulida y lacada",Casa,1,1,1,5,5030,5024
