Cod,Departamento,Edificaciones C. Municipal,Edificaciones C. Poblado,Edificaciones Rural Disperso y Resto,Personas C. Municipal,Personas C. Poblado,Personas Rural Disperso y Resto,Total edificaciones,Total personas
15494,15.0,340.0,0.0,10.0,971.0,0.0,4019.0,350.0,4990.0
15500,15.0,131.0,0.0,19.0,400.0,0.0,2392.0,150.0,2792.0
15507,15.0,526.0,150.0,212.0,3348.0,468.0,3171.0,888.0,6987.0
15511,15.0,191.0,0.0,8.0,494.0,0.0,1766.0,199.0,2260.0
15514,15.0,470.0,68.0,45.0,1246.0,180.0,1499.0,583.0,2925.0
15516,15.0,5450.0,130.0,84.0,19314.0,393.0,11363.0,5664.0,31070.0
15518,15.0,251.0,143.0,35.0,909.0,373.0,645.0,429.0,1927.0
15522,15.0,227.0,0.0,10.0,764.0,0.0,853.0,237.0,1617.0
15531,15.0,650.0,0.0,51.0,2029.0,0.0,4326.0,701.0,6355.0
15533,15.0,142.0,28.0,295.0,443.0,95.0,1512.0,465.0,2050.0
15537,15.0,770.0,4.0,25.0,2636.0,15.0,1388.0,799.0,4039.0
15542,15.0,114.0,0.0,37.0,2245.0,0.0,4359.0,151.0,6604.0
15550,15.0,203.0,0.0,61.0,525.0,0.0,1051.0,264.0,1576.0
15572,15.0,9356.0,2760.0,735.0,31657.0,7126.0,5056.0,12851.0,43839.0
15580,15.0,392.0,27.0,77.0,1277.0,453.0,2455.0,496.0,4185.0
15599,15.0,1284.0,105.0,23.0,3823.0,110.0,4754.0,1412.0,8687.0
15600,15.0,575.0,18.0,85.0,2214.0,70.0,5013.0,678.0,7297.0
15621,15.0,198.0,27.0,40.0,570.0,71.0,1566.0,265.0,2207.0
15632,15.0,320.0,32.0,65.0,943.0,85.0,10125.0,417.0,11153.0
15638,15.0,616.0,0.0,60.0,2445.0,0.0,2363.0,676.0,4808.0
15646,15.0,1481.0,99.0,71.0,6948.0,367.0,10166.0,1651.0,17481.0
15660,15.0,305.0,0.0,14.0,675.0,0.0,879.0,319.0,1554.0
15664,15.0,275.0,0.0,30.0,946.0,0.0,3712.0,305.0,4658.0
15667,15.0,738.0,125.0,37.0,2122.0,471.0,1936.0,900.0,4529.0
15673,15.0,486.0,0.0,21.0,1163.0,0.0,2143.0,507.0,3306.0
15676,15.0,123.0,0.0,20.0,408.0,0.0,2489.0,143.0,2897.0
15681,15.0,28.0,172.0,55.0,681.0,1477.0,3648.0,255.0,5806.0
15686,15.0,790.0,80.0,28.0,2368.0,289.0,4153.0,898.0,6810.0
15690,15.0,653.0,0.0,36.0,1967.0,0.0,1122.0,689.0,3089.0
15693,15.0,2343.0,5.0,30.0,6887.0,12.0,3933.0,2378.0,10832.0
15696,15.0,295.0,0.0,11.0,983.0,0.0,1936.0,306.0,2919.0
15720,15.0,427.0,18.0,30.0,659.0,20.0,1268.0,475.0,1947.0
15723,15.0,115.0,0.0,7.0,291.0,0.0,752.0,122.0,1043.0
15740,15.0,321.0,0.0,45.0,1114.0,0.0,5531.0,366.0,6645.0
15753,15.0,1545.0,0.0,42.0,6148.0,0.0,2305.0,1587.0,8453.0
15755,15.0,374.0,11.0,76.0,1354.0,41.0,5723.0,461.0,7118.0
15757,15.0,1115.0,33.0,30.0,4212.0,137.0,3138.0,1178.0,7487.0
15759,15.0,24587.0,428.0,132.0,106066.0,1456.0,11917.0,25147.0,119439.0
15761,15.0,263.0,0.0,13.0,597.0,0.0,1766.0,276.0,2363.0
15762,15.0,149.0,0.0,11.0,457.0,0.0,2129.0,160.0,2586.0
15763,15.0,260.0,97.0,68.0,831.0,462.0,6651.0,425.0,7944.0
15764,15.0,343.0,0.0,24.0,1411.0,0.0,4441.0,367.0,5852.0
15774,15.0,35.0,0.0,23.0,579.0,0.0,1976.0,58.0,2555.0
15776,15.0,531.0,0.0,28.0,2081.0,0.0,3672.0,559.0,5753.0
15778,15.0,263.0,0.0,9.0,659.0,0.0,2819.0,272.0,3478.0
15790,15.0,506.0,80.0,40.0,1482.0,173.0,3483.0,626.0,5138.0
15798,15.0,448.0,0.0,10.0,1046.0,0.0,2380.0,458.0,3426.0
15804,15.0,549.0,0.0,25.0,1644.0,0.0,6291.0,574.0,7935.0
15806,15.0,1128.0,161.0,46.0,4176.0,820.0,6011.0,1335.0,11007.0
15808,15.0,283.0,0.0,30.0,727.0,0.0,2140.0,313.0,2867.0
15810,15.0,185.0,7.0,10.0,908.0,37.0,2206.0,202.0,3151.0
15814,15.0,707.0,0.0,41.0,4202.0,0.0,4502.0,748.0,8704.0
15816,15.0,176.0,0.0,25.0,607.0,0.0,3617.0,201.0,4224.0
15820,15.0,290.0,88.0,6.0,1008.0,424.0,2091.0,384.0,3523.0
15822,15.0,289.0,0.0,50.0,769.0,0.0,3754.0,339.0,4523.0
15832,15.0,68.0,0.0,12.0,251.0,0.0,1267.0,80.0,1518.0
15835,15.0,658.0,0.0,14.0,2050.0,0.0,3781.0,672.0,5831.0
15837,15.0,616.0,0.0,65.0,2300.0,0.0,5836.0,681.0,8136.0
